145.017;200;200
144.931;200;200
144.931;200;200
145.447;200;200
145.017;200;200
144.588;200;200
145.103;200;200
145.017;199;199
144.759;199;199
145.361;199;199
145.43;198;198
145.533;198;198
101.701;198;197
145.962;197;197
146.22;197;196
146.46;196;196
146.907;196;195
147.165;195;195
148.024;194;194
136.856;194;193
139.089;193;193
142.268;193;192
137.543;192;192
151.718;191;191
152.491;191;190
152.32;190;189
154.124;189;189
155.412;188;188
84.2784;188;187
43.4708;187;187
43.8144;187;187
43.8144;186;186
42.0962;185;186
44.5017;185;185
42.354;184;185
43.0412;184;184
79.3814;183;183
79.4674;182;183
72.5945;182;182
78.2474;181;182
79.055;180;181
73.5223;180;181
77.3196;179;180
78.6942;179;179
79.5533;178;179
80.756;177;178
81.0137;176;178
81.7869;176;177
82.3883;175;176
82.1306;174;176
78.9519;174;175
104.124;173;175
103.436;172;174
103.694;171;173
104.21;171;173
104.983;170;172
104.983;169;171
106.357;168;171
106.873;167;170
107.99;166;169
131.443;166;169
81.8729;165;168
79.7251;164;167
62.4399;163;167
77.6632;163;166
73.2818;162;165
70.7045;161;165
71.9244;160;164
72.8522;160;164
76.3746;159;163
75.7732;158;162
60.8247;158;162
60.9966;157;161
63.4021;156;161
62.457;155;160
59.2784;155;160
50.1718;154;159
50.0859;153;158
49.9141;153;158
49.9141;152;157
59.1924;151;157
50;151;156
50.1718;150;156
43.7285;149;155
45.2749;148;154
56.6151;148;154
36.7698;147;153
36.3402;146;153
36.3402;146;152
36.0825;145;152
35.9278;145;151
35.567;144;151
34.5361;143;150
34.7938;143;150
34.2784;142;149
35.0515;142;149
34.5361;141;148
34.5361;141;148
34.0378;140;147
34.5361;139;147
35.0515;139;146
34.2784;138;146
34.7938;138;145
34.5361;137;145
35.0515;136;144
35.3093;136;144
35.567;135;143
35.8247;135;143
36.5979;134;142
36.0825;133;142
38.1443;133;141
37.7148;132;141
38.6598;131;140
56.8729;131;140
57.0447;130;139
50.6014;129;138
61.9416;129;138
62.1134;128;137
63.6598;127;137
50.0859;127;136
65.0344;126;136
66.4089;125;135
66.8385;125;134
64.0034;124;134
75.6873;123;133
79.9828;122;133
63.4021;122;132
82.8351;121;132
79.1924;120;131
75.1718;120;130
75.6186;119;130
78.2646;118;129
77.6632;117;129
76.7182;117;128
75.7732;116;128
75.7732;115;127
75;115;126
72.2509;114;126
69.7595;113;125
74.4845;113;125
71.2199;112;124
74.1409;111;124
73.5395;110;123
73.9691;110;123
73.7973;109;122
73.7973;108;121
73.4536;108;121
73.9691;107;120
74.055;106;120
74.2268;106;119
74.4845;105;119
74.7423;104;118
75.3436;104;117
74.8969;103;117
76.2027;102;116
68.5567;101;116
67.0103;101;115
62.9725;100;115
61.5808;99;114
63.7629;99;113
58.8488;98;113
58.1615;97;112
57.3883;96;112
56.8729;96;111
48.7113;95;111
50.0859;94;110
48.8832;94;110
48.3677;93;109
47.7663;92;108
48.5395;91;108
45.8763;91;107
47.6804;90;107
47.8522;89;106
48.11;89;106
47.1649;88;105
53.0928;87;104
50.0859;87;104
53.866;86;103
51.6323;85;103
55.2405;84;102
56.701;84;102
59.0034;83;101
57.0447;82;101
60.756;81;100
56.7869;81;99
63.4021;80;99
66.3918;79;98
110.722;78;98
99.3127;78;97
142.01;77;96
145.962;76;95
146.478;75;95
96.3918;74;94
146.649;73;93
147.079;72;92
147.165;71;92
148.625;70;91
138.058;69;90
149.914;68;89
152.148;67;88
150;66;88
153.952;65;87
159.278;64;86
43.8144;63;86
43.2131;62;85
43.3162;62;84
42.354;61;84
44.6735;60;83
42.543;59;83
43.299;59;82
43.299;58;82
79.2096;57;81
78.866;56;80
78.6942;55;80
77.7491;55;79
76.4605;54;78
79.1237;53;78
79.3814;52;77
80.4983;51;77
80.756;51;76
81.1856;50;76
80.9278;49;75
81.9588;48;74
84.1924;48;74
82.8179;47;73
65.9794;46;73
99.2268;45;72
103.436;44;71
104.296;43;71
105.155;43;70
106.186;42;69
107.302;41;69
132.216;40;68
126.443;39;67
80.5842;38;66
78.5223;37;66
61.9416;37;65
56.5292;36;65
69.6907;35;64
72.9381;34;64
65.7216;34;63
76.6323;33;62
74.5704;32;62
75.0859;31;61
59.0206;30;61
64.2612;30;60
60.567;29;59
60.9966;28;59
60.9966;28;58
49.9141;27;58
50.6873;26;57
50.2577;25;57
56.8729;25;56
50.4296;24;55
49.7423;23;55
56.6151;22;54
56.7869;22;54
38.4021;21;53
36.7698;20;53
37.2852;20;52
36.0825;19;52
36.3402;19;51
36.7526;18;51
35.3265;17;50
35.0515;17;50
34.5533;16;49
34.6907;15;48
34.2784;15;48
34.2612;14;48
34.2784;14;47
34.2784;13;47
34.2784;13;46
34.7938;12;46
35.3093;11;45
35.0515;11;45
34.7079;10;44
35.8247;10;44
36.0825;9;43
36.3402;8;43
36.0825;8;42
37.7148;7;42
36.512;7;41
37.7148;6;41
38.2302;5;40
38.6598;5;40
38.8316;4;39
64.0893;3;39
64.5189;2;38
62.3711;2;37
62.7148;1;37
59.1924;0;36
